strike,dip,rake,weighted_misfit,misfit_fraction,polarity_errors
320,90,0,0.09225809803317878,0.2,1
320,90,10,0.09225809803317878,0.2,1
320,90,20,0.09225809803317878,0.2,1
320,90,30,0.09225809803317878,0.2,1
330,50,50,0.09225809803317878,0.2,1
330,60,50,0.09225809803317878,0.2,1
330,80,0,0.09225809803317878,0.2,1
330,80,10,0.09225809803317878,0.2,1
330,80,20,0.09225809803317878,0.2,1
330,80,30,0.09225809803317878,0.2,1
330,90,0,0.09225809803317878,0.2,1
330,90,10,0.09225809803317878,0.2,1
330,90,20,0.09225809803317878,0.2,1
340,50,60,0.09225809803317878,0.2,1
340,90,20,0.09225809803317878,0.2,1
350,50,60,0.09225809803317878,0.2,1
0,10,-100,0.09919124579122414,0.2,1
0,10,-90,0.09919124579122414,0.2,1
0,20,-100,0.09919124579122414,0.2,1
0,50,70,0.09919124579122414,0.2,1
0,60,60,0.09919124579122414,0.2,1
0,60,70,0.09919124579122414,0.2,1
0,60,80,0.09919124579122414,0.2,1
0,70,50,0.09919124579122414,0.2,1
0,70,60,0.09919124579122414,0.2,1
0,70,70,0.09919124579122414,0.2,1
0,70,80,0.09919124579122414,0.2,1
0,80,50,0.09919124579122414,0.2,1
0,80,60,0.09919124579122414,0.2,1
0,80,70,0.09919124579122414,0.2,1
0,80,80,0.09919124579122414,0.2,1
0,80,90,0.09919124579122414,0.2,1
0,90,50,0.09919124579122414,0.2,1
0,90,60,0.09919124579122414,0.2,1
0,90,70,0.09919124579122414,0.2,1
0,90,80,0.09919124579122414,0.2,1
0,90,90,0.09919124579122414,0.2,1
10,10,-100,0.09919124579122414,0.2,1
10,10,-90,0.09919124579122414,0.2,1
10,10,-80,0.09919124579122414,0.2,1
10,10,-70,0.09919124579122414,0.2,1
10,20,-90,0.09919124579122414,0.2,1
10,50,70,0.09919124579122414,0.2,1
10,50,80,0.09919124579122414,0.2,1
10,60,60,0.09919124579122414,0.2,1
10,60,70,0.09919124579122414,0.2,1
10,60,80,0.09919124579122414,0.2,1
10,70,50,0.09919124579122414,0.2,1
10,70,60,0.09919124579122414,0.2,1
10,70,70,0.09919124579122414,0.2,1
10,70,80,0.09919124579122414,0.2,1
10,70,90,0.09919124579122414,0.2,1
10,80,50,0.09919124579122414,0.2,1
10,80,60,0.09919124579122414,0.2,1
10,80,70,0.09919124579122414,0.2,1
10,80,80,0.09919124579122414,0.2,1
10,80,90,0.09919124579122414,0.2,1
10,90,50,0.09919124579122414,0.2,1
10,90,60,0.09919124579122414,0.2,1
10,90,70,0.09919124579122414,0.2,1
10,90,80,0.09919124579122414,0.2,1
10,90,90,0.09919124579122414,0.2,1
20,10,-90,0.09919124579122414,0.2,1
20,10,-80,0.09919124579122414,0.2,1
20,10,-70,0.09919124579122414,0.2,1
20,10,-60,0.09919124579122414,0.2,1
20,20,-80,0.09919124579122414,0.2,1
20,50,70,0.09919124579122414,0.2,1
20,50,80,0.09919124579122414,0.2,1
20,50,90,0.09919124579122414,0.2,1
20,60,60,0.09919124579122414,0.2,1
20,60,70,0.09919124579122414,0.2,1
20,60,80,0.09919124579122414,0.2,1
20,60,90,0.09919124579122414,0.2,1
20,70,50,0.09919124579122414,0.2,1
20,70,60,0.09919124579122414,0.2,1
20,70,70,0.09919124579122414,0.2,1
20,70,80,0.09919124579122414,0.2,1
20,70,90,0.09919124579122414,0.2,1
20,80,50,0.09919124579122414,0.2,1
20,80,60,0.09919124579122414,0.2,1
20,80,70,0.09919124579122414,0.2,1
20,80,80,0.09919124579122414,0.2,1
20,80,90,0.09919124579122414,0.2,1
20,90,60,0.09919124579122414,0.2,1
20,90,70,0.09919124579122414,0.2,1
20,90,80,0.09919124579122414,0.2,1
20,90,90,0.09919124579122414,0.2,1
30,10,-80,0.09919124579122414,0.2,1
30,10,-70,0.09919124579122414,0.2,1
30,10,-60,0.09919124579122414,0.2,1
30,10,-50,0.09919124579122414,0.2,1
30,20,-70,0.09919124579122414,0.2,1
30,20,-60,0.09919124579122414,0.2,1
30,30,-120,0.09919124579122414,0.2,1
30,30,-110,0.09919124579122414,0.2,1
30,30,-100,0.09919124579122414,0.2,1
30,30,-90,0.09919124579122414,0.2,1
30,30,-80,0.09919124579122414,0.2,1
30,50,100,0.09919124579122414,0.2,1
30,50,110,0.09919124579122414,0.2,1
30,60,100,0.09919124579122414,0.2,1
30,60,110,0.09919124579122414,0.2,1
30,60,120,0.09919124579122414,0.2,1
30,60,130,0.09919124579122414,0.2,1
30,70,100,0.09919124579122414,0.2,1
30,70,110,0.09919124579122414,0.2,1
30,70,120,0.09919124579122414,0.2,1
30,70,130,0.09919124579122414,0.2,1
30,70,140,0.09919124579122414,0.2,1
30,80,100,0.09919124579122414,0.2,1
30,80,110,0.09919124579122414,0.2,1
30,80,120,0.09919124579122414,0.2,1
30,80,130,0.09919124579122414,0.2,1
30,80,140,0.09919124579122414,0.2,1
30,90,100,0.09919124579122414,0.2,1
30,90,110,0.09919124579122414,0.2,1
30,90,120,0.09919124579122414,0.2,1
30,90,130,0.09919124579122414,0.2,1
30,90,140,0.09919124579122414,0.2,1
30,90,150,0.09919124579122414,0.2,1
40,10,-70,0.09919124579122414,0.2,1
40,10,-60,0.09919124579122414,0.2,1
40,10,-50,0.09919124579122414,0.2,1
40,10,-40,0.09919124579122414,0.2,1
40,20,-120,0.09919124579122414,0.2,1
